user_id,labels
513519364,Geek.Fashionista.Mid_Consumer
513070340,Early_bird.Culinarian.Geek.Lifestyle.Mid_Consumer
568195981,Culinarian.Audiophile.Fashionista.Lifestyle
519172177,Geek.Fashionista.Mid_Consumer
514322084,Brand_loyalty.Fashionista.Lifestyle
567804662,Brand_loyalty.Maker.Mid_Consumer
580149815,Fashionista.Fashionista.Lifestyle.Mid_Consumer
519557969,Fashionista
521166858,Culinarian.Geek.high_consumer
526531633,Brand_loyalty.Culinarian
578922518,Fashionista.Caregiver.high_consumer
580200237,Brand_loyalty.Maker.Audiophile.Fashionista
524529052,Fashionista.Caregiver.Mid_Consumer
565094458,Fashionista.Fashionista.Mid_Consumer
580012971,Night_owl.Maker.Fashionista.high_consumer
577563090,Night_owl.Lifestyle.Caregiver.Mid_Consumer
569073244,Early_bird.Homebody.Fashionista.Caregiver.Mid_Consumer
536204988,Brand_loyalty.Fashionista.Lifestyle.Mid_Consumer
577698383,Fashionista.Car_Enthusiast
566744377,Maker.Fashionista.Mid_Consumer
514118807,Culinarian.Photophile.Fashionista.Mid_Consumer
545277927,Brand_loyalty.Culinarian.Fashionista
535703475,Homebody.Culinarian.Lifestyle.Mid_Consumer
543787975,Early_bird.Brand_loyalty.Culinarian.Lifestyle.Caregiver
512605511,Geek.Fashionista.Mid_Consumer
576873107,Decisive.Fashionista.Farm.high_consumer
513056434,Geek.Fashionista
571759469,Culinarian.Fashionista.Mid_Consumer
529165224,Geek.Fashionista.Caregiver
549805475,Brand_loyalty.Maker.Culinarian.Lifestyle.Mid_Consumer
580315354,Fashionista.Fashionista
571806369,Culinarian.Fashionista.Lifestyle
513282084,Brand_loyalty.Maker.Lifestyle.Mid_Consumer
516373058,Maker.Photophile.Media_Aficionado.Mid_Consumer
512578524,Brand_loyalty.Photophile.Media_Aficionado.Lifestyle.Caregiver
547221486,Early_bird.Mid_Consumer
517440232,Maker.Culinarian.Lifestyle.Mid_Consumer
542915321,Geek.Media_Aficionado.Fashionista
517306450,Maker.Audiophile.Fashionista
568447459,Maker.Culinarian.Fashionista.Mid_Consumer
514966141,Brand_loyalty.Maker.Homebody.Fashionista
577902409,Brand_loyalty.Maker.Fashionista.Mid_Consumer
529013490,Brand_loyalty.Fashionista.Caregiver.Mid_Consumer
514888595,Maker.Culinarian.Lifestyle.Mid_Consumer
572207012,Audiophile.Fashionista.Car_Enthusiast.Mid_Consumer
548512724,Geek.Mid_Consumer
567399403,Early_bird.Geek.Media_Aficionado.Caregiver.Mid_Consumer
519361840,Culinarian.Culinarian.Geek.Mid_Consumer
571918144,Fashionista.Lifestyle.Caregiver.Mid_Consumer
549388635,Brand_loyalty.Maker.Culinarian.Mid_Consumer
515104341,Maker.Fashionista
578295196,Culinarian.Fashionista.Lifestyle
544411346,Fashionista.Lifestyle.Mid_Consumer
568795820,Culinarian.Mid_Consumer
524602666,Brand_loyalty.Maker.Culinarian.Geek.Mid_Consumer
558456396,Night_owl.Lifestyle.Mid_Consumer
572567183,Geek.Audiophile.Lifestyle
512936866,Maker
518043815,Decisive.Brand_loyalty.Maker.Culinarian.Mid_Consumer
569341966,Night_owl.Audiophile.Fashionista.Mid_Consumer
515614087,Culinarian.Fashionista.Mid_Consumer
567497502,Brand_loyalty.Maker.Culinarian.Fashionista.Mid_Consumer
527442241,Maker.Fashionista.Caregiver
512417245,Decisive.Brand_loyalty.Maker.Caregiver
580130966,Maker.Fashionista.Mid_Consumer
514652144,Early_bird.Brand_loyalty.Culinarian.Car_Enthusiast.Caregiver.Mid_Consumer
570512176,Maker.Maker.Culinarian.Mid_Consumer
562450098,Decisive.Brand_loyalty.Maker.Fashionista.Mid_Consumer
523099035,Maker.Culinarian.Caregiver.Mid_Consumer
571796575,Night_owl.Fashionista.Lifestyle
573172793,Culinarian.Fashionista.Mid_Consumer
536617300,Maker.Fashionista.Mid_Consumer
570833290,Culinarian.Culinarian.Lifestyle
517449141,Maker.Culinarian.high_consumer
542733913,Brand_loyalty.Maker.Culinarian.Mid_Consumer
568622155,Brand_loyalty.Maker.Culinarian
568083554,Culinarian.Culinarian.Mid_Consumer
530242426,Audiophile.Fashionista.Mid_Consumer
568134774,Decisive.Brand_loyalty.Fashionista
549522075,Homebody.Culinarian.Mid_Consumer
518262861,Brand_loyalty.Mid_Consumer
513997540,Media_Aficionado.Audiophile
514473505,Early_bird.Culinarian.Geek.Audiophile.Mid_Consumer
571104184,Fashionista.Fashionista.Lifestyle.Mid_Consumer
515375736,Audiophile.Mid_Consumer
512426808,Brand_loyalty.Maker.Lifestyle.Mid_Consumer
524440415,Brand_loyalty.Culinarian.Fashionista.Lifestyle
542716666,Early_bird.Decisive
530437219,Homebody.Geek
560875076,Culinarian.Geek.Lifestyle.Mid_Consumer
516186923,Culinarian.Fashionista.Mid_Consumer
513833151,Maker.Culinarian.high_consumer
512498143,Brand_loyalty.Geek.Audiophile.Fashionista.high_consumer
515360714,Early_bird.Brand_loyalty.Fashionista
521205960,Maker.Fashionista
543886174,Maker.Fashionista.Lifestyle
567693950,Homebody.Culinarian.Photophile.Mid_Consumer
548411800,Fashionista.Fashionista.Mid_Consumer
526676112,Early_bird.Fashionista.Lifestyle.Farm.Mid_Consumer
580180887,Brand_loyalty.Culinarian.Geek.Audiophile.high_consumer
579662595,Homebody.Culinarian
557112464,Culinarian.Fashionista.Health_Enthusiast.Mid_Consumer
568652020,Maker.Fashionista.Lifestyle.Mid_Consumer
574687240,Night_owl.Photophile.Media_Aficionado
521877875,Geek.Geek.Lifestyle.Mid_Consumer
571684418,Culinarian.high_consumer
580136827,Culinarian.Geek.Fashionista.Mid_Consumer
513081506,Culinarian.Culinarian.Fashionista.Mid_Consumer
513324472,Brand_loyalty.Maker.Fashionista
558085712,Maker.Fashionista.Mid_Consumer
513674548,Early_bird.Geek.Fashionista
513608955,Maker.Fashionista
568057227,Maker.Photophile.Media_Aficionado.Mid_Consumer
517929803,Early_bird.Maker.Fashionista.Mid_Consumer
572494801,Fashionista.Mid_Consumer
560702904,Early_bird.Maker.Culinarian
579391124,Audiophile.Fashionista.Mid_Consumer
513651163,Brand_loyalty.Audiophile.Fashionista.high_consumer
572455821,Maker.Fashionista
578034065,Early_bird.Fashionista
578610474,Brand_loyalty.Fashionista.Car_Enthusiast.Mid_Consumer
516894622,Geek.Fashionista.Mid_Consumer
580276065,Maker.Fashionista.high_consumer
530623478,Brand_loyalty.Maker.Fashionista
516746514,Fashionista.Fashionista.Mid_Consumer
513727764,Brand_loyalty.Maker.Fashionista.Mid_Consumer
555682479,Maker.Audiophile.Mid_Consumer
525379328,Culinarian.Fashionista
513342389,Brand_loyalty.Maker.Geek.Mid_Consumer
580103990,Maker.Fashionista.high_consumer
529376353,Culinarian.Fashionista.Mid_Consumer
514669338,Early_bird.Geek.Audiophile.Caregiver
514563366,Fashionista.Fashionista.Car_Enthusiast
577228814,Brand_loyalty.Maker.Fashionista.Mid_Consumer
565236453,Night_owl.Maker.Fashionista
514364288,Geek.Audiophile.high_consumer
579441778,Geek.Audiophile.high_consumer
545636041,Geek.Fashionista
563020567,Early_bird.Media_Aficionado.Caregiver.Mid_Consumer
579069837,Fashionista
522861952,Brand_loyalty.Geek.Caregiver.high_consumer
570797894,Brand_loyalty.Culinarian.Geek.Audiophile.Mid_Consumer
521726723,Early_bird.Brand_loyalty.Maker.Fashionista
527591765,Early_bird.Geek.Fashionista.Mid_Consumer
574438336,Brand_loyalty.Geek.Audiophile.Fashionista.high_consumer
534063128,Culinarian.Fashionista.Mid_Consumer
573127518,Culinarian.Fashionista.Lifestyle
516627962,Maker.Fashionista
572604088,Brand_loyalty.Maker.Fashionista.high_consumer
542656426,Night_owl.Fashionista.Lifestyle.Mid_Consumer
514675015,Geek.Photophile.Media_Aficionado.Car_Enthusiast.Mid_Consumer
580114151,Geek.Fashionista
535295708,Early_bird.Homebody.Caregiver.Mid_Consumer
525289996,Early_bird.Brand_loyalty.Maker.Fashionista.high_consumer
552621859,Maker.Audiophile.Fashionista
560450450,Night_owl.Maker.Homebody.Caregiver.Mid_Consumer
551162561,Fashionista.Fashionista.Mid_Consumer
540858578,Brand_loyalty.Culinarian.Audiophile
527227707,Culinarian.Geek.Fashionista.Mid_Consumer
566996746,Maker.Geek.Audiophile.high_consumer
576294686,Culinarian.Fashionista.Caregiver.Mid_Consumer
513544317,Early_bird.Maker.Culinarian.Mid_Consumer
521861531,Maker.Homebody.Fashionista
571703163,Brand_loyalty.Maker.high_consumer
564791821,Maker.Fashionista.Mid_Consumer
568834070,Mid_Consumer
514520948,Brand_loyalty.Culinarian.Geek.Mid_Consumer
556928889,Maker.Culinarian.Mid_Consumer
527121366,Geek.Audiophile.high_consumer
575984935,Brand_loyalty.Fashionista
515202238,Culinarian.Audiophile.Caregiver.high_consumer
580318909,Geek.Fashionista.Caregiver
580082788,Maker.Fashionista
514318283,Maker.Culinarian.Audiophile.Mid_Consumer
564954830,Early_bird.Brand_loyalty.Maker.Culinarian.Fashionista.high_consumer
554659477,Geek.Audiophile.Mid_Consumer
512683247,Night_owl.Brand_loyalty.Fashionista.Lifestyle.Mid_Consumer
521683606,Night_owl.Brand_loyalty.Culinarian.Audiophile.Fashionista.Lifestyle
579677455,Culinarian.Fashionista
517213634,Brand_loyalty.Maker.Geek.Fashionista.Mid_Consumer
513220032,Maker.Fashionista.Mid_Consumer
